,0,1,2,3,4,5,6,7,8,9
0,16084,18,2,23,2,28,689,1025,4270,22141
1,159,1244,2,0,7,3,131,1407,818,3771
2,65,16,448,11,0,0,23,387,1491,2441
3,221,0,4,309,0,0,5,20,2259,2818
4,184,4,30,1,47,0,74,840,1762,2942
5,600,13,2,0,1,26,209,298,789,1938
6,1926,67,4,6,3,6,6596,1897,1247,11752
7,729,48,17,9,12,9,477,31535,3744,36580
8,621,30,57,98,4,25,99,2023,50545,53502
9,20589,1440,566,457,76,97,8303,39432,66925,137885
