,0,1,2,3,4,5,6,7,8,9
0,1143,39,15,139,41,104,210,77,170,1938
1,39,1298,31,8,92,60,62,219,129,1938
2,26,99,1084,118,194,52,47,119,199,1938
3,78,8,47,1442,21,43,20,20,259,1938
4,73,101,163,47,868,62,122,182,320,1938
5,274,170,81,121,119,546,258,94,275,1938
6,190,136,29,28,54,58,1199,172,72,1938
7,34,128,24,20,104,22,147,1365,94,1938
8,39,48,83,252,119,41,26,95,1235,1938
9,1896,2027,1557,2175,1612,988,2091,2343,2753,17442
